"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","id"
21,6,160,110,3.9,2.62,16.46,0,2,4,4,"Mazda RX4"
21,6,160,110,3.9,2.875,17.02,0,2,4,4,"Mazda RX4 Wag"
22.8,4,108,93,3.85,2.32,18.61,1,2,4,1,"Datsun 710"
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"Hornet 4 Drive"
18.7,7,360,175,3.15,3.44,17.02,0,0,3,2,"Hornet Sportabout"
18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,"Valiant"
14.3,7,360,245,3.21,3.57,15.84,0,0,3,4,"Duster 360"
24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,"Merc 240D"
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"Merc 230"
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"Merc 280"
17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,"Merc 280C"
16.4,7,275.8,180,3.07,4.07,17.4,0,0,3,3,"Merc 450SE"
17.3,7,275.8,180,3.07,3.73,17.6,0,0,3,3,"Merc 450SL"
15.2,7,275.8,180,3.07,3.78,18,0,0,3,3,"Merc 450SLC"
10.4,7,472,205,2.93,5.25,17.98,0,0,3,4,"Cadillac Fleetwood"
10.4,7,460,215,3,5.424,17.82,0,0,3,4,"Lincoln Continental"
14.7,7,440,230,3.23,5.345,17.42,0,0,3,4,"Chrysler Imperial"
32.4,4,78.7,66,4.08,2.2,19.47,1,2,4,1,"Fiat 128"
30.4,4,75.7,52,4.93,1.615,18.52,1,2,4,2,"Honda Civic"
33.9,4,71.1,65,4.22,1.835,19.9,1,2,4,1,"Toyota Corolla"
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,"Toyota Corona"
15.5,7,318,150,2.76,3.52,16.87,0,0,3,2,"Dodge Challenger"
15.2,7,304,150,3.15,3.435,17.3,0,0,3,2,"AMC Javelin"
13.3,7,350,245,3.73,3.84,15.41,0,0,3,4,"Camaro Z28"
19.2,7,400,175,3.08,3.845,17.05,0,0,3,2,"Pontiac Firebird"
27.3,4,79,66,4.08,1.935,18.9,1,2,4,1,"Fiat X1-9"
26,4,120.3,91,4.43,2.14,16.7,0,2,5,2,"Porsche 914-2"
30.4,4,95.1,113,3.77,1.513,16.9,1,2,5,2,"Lotus Europa"
15.8,7,351,264,4.22,3.17,14.5,0,2,5,4,"Ford Pantera L"
19.7,6,145,175,3.62,2.77,15.5,0,2,5,6,"Ferrari Dino"
